image_name,batch_label,label_number,label_name,dataset,tain/validation/test
b'leptodactylus_pentadactylus_s_000004.png',data_batch_1,6,frog,cifar10,train
b'camion_s_000148.png',data_batch_1,9,truck,cifar10,train
b'tipper_truck_s_001250.png',data_batch_1,9,truck,cifar10,train
b'american_elk_s_001521.png',data_batch_1,4,deer,cifar10,train
b'station_wagon_s_000293.png',data_batch_1,1,automobile,cifar10,train
b'coupe_s_001735.png',data_batch_1,1,automobile,cifar10,train
b'cassowary_s_001300.png',data_batch_1,2,bird,cifar10,train
b'cow_pony_s_001168.png',data_batch_1,7,horse,cifar10,train
b'sea_boat_s_001584.png',data_batch_1,8,ship,cifar10,train
b'tabby_s_001355.png',data_batch_1,3,cat,cifar10,train
b'muntjac_s_001000.png',data_batch_1,4,deer,cifar10,train
b'arabian_s_001354.png',data_batch_1,7,horse,cifar10,train
b'quarter_horse_s_000672.png',data_batch_1,7,horse,cifar10,train
b'passerine_s_000343.png',data_batch_1,2,bird,cifar10,train
b'camion_s_001895.png',data_batch_1,9,truck,cifar10,train
b'trailer_truck_s_000335.png',data_batch_1,9,truck,cifar10,train
b'dumper_s_000821.png',data_batch_1,9,truck,cifar10,train
b'alley_cat_s_000200.png',data_batch_1,3,cat,cifar10,train
b'accentor_s_000677.png',data_batch_1,2,bird,cifar10,train
b'frog_s_001671.png',data_batch_1,6,frog,cifar10,train
b'capreolus_capreolus_s_000051.png',data_batch_1,4,deer,cifar10,train
b'tomcat_s_000772.png',data_batch_1,3,cat,cifar10,train
b'pickerel_frog_s_000446.png',data_batch_1,6,frog,cifar10,train
b'bufo_s_001242.png',data_batch_1,6,frog,cifar10,train
b'cassowary_s_001246.png',data_batch_1,2,bird,cifar10,train
b'toad_s_001748.png',data_batch_1,6,frog,cifar10,train
b'cat_s_000081.png',data_batch_1,3,cat,cifar10,train
b'chihuahua_s_000825.png',data_batch_1,5,dog,cifar10,train
b'alces_alces_s_000959.png',data_batch_1,4,deer,cifar10,train
b'stealth_bomber_s_000554.png',data_batch_1,0,airplane,cifar10,train
b'twinjet_s_000663.png',data_batch_1,0,airplane,cifar10,train
b'trucking_rig_s_001402.png',data_batch_1,9,truck,cifar10,train
b'auto_s_000609.png',data_batch_1,1,automobile,cifar10,train
b'tabby_cat_s_000983.png',data_batch_1,3,cat,cifar10,train
b'wapiti_s_000416.png',data_batch_1,4,deer,cifar10,train
b'monoplane_s_000895.png',data_batch_1,0,airplane,cifar10,train
b'true_cat_s_000247.png',data_batch_1,3,cat,cifar10,train
b'tennessee_walker_s_000486.png',data_batch_1,7,horse,cifar10,train
b'house_cat_s_000243.png',data_batch_1,3,cat,cifar10,train
b'house_cat_s_001196.png',data_batch_1,3,cat,cifar10,train
b'pekinese_s_001337.png',data_batch_1,5,dog,cifar10,train
b'ostrich_s_001368.png',data_batch_1,2,bird,cifar10,train
b'ostrich_s_001150.png',data_batch_1,2,bird,cifar10,train
b'stallion_s_000046.png',data_batch_1,7,horse,cifar10,train
b'station_waggon_s_000041.png',data_batch_1,1,automobile,cifar10,train
b'coupe_s_001944.png',data_batch_1,1,automobile,cifar10,train
b'estate_car_s_000580.png',data_batch_1,1,automobile,cifar10,train
b'accentor_s_000759.png',data_batch_1,2,bird,cifar10,train
b'emu_novaehollandiae_s_000795.png',data_batch_1,2,bird,cifar10,train
b'dive_bomber_s_001390.png',data_batch_1,0,airplane,cifar10,train
b'articulated_lorry_s_000131.png',data_batch_1,9,truck,cifar10,train
b'pekinese_s_001093.png',data_batch_1,5,dog,cifar10,train
b'broodmare_s_001463.png',data_batch_1,7,horse,cifar10,train
b'delivery_truck_s_000834.png',data_batch_1,9,truck,cifar10,train
b'songbird_s_001052.png',data_batch_1,2,bird,cifar10,train
b'emu_s_000692.png',data_batch_1,2,bird,cifar10,train
b'puppy_s_000115.png',data_batch_1,5,dog,cifar10,train
b'wagtail_s_001821.png',data_batch_1,2,bird,cifar10,train
b'dama_dama_s_000658.png',data_batch_1,4,deer,cifar10,train
b'domestic_cat_s_001970.png',data_batch_1,3,cat,cifar10,train
b'ambulance_s_003039.png',data_batch_1,1,automobile,cifar10,train
b'convertible_s_001763.png',data_batch_1,1,automobile,cifar10,train
b'tank_ship_s_001229.png',data_batch_1,8,ship,cifar10,train
b'cassowary_s_001055.png',data_batch_1,2,bird,cifar10,train
b'wagon_s_001142.png',data_batch_1,1,automobile,cifar10,train
b'police_cruiser_s_000620.png',data_batch_1,1,automobile,cifar10,train
b'moose_s_002308.png',data_batch_1,4,deer,cifar10,train
b'aerial_ladder_truck_s_000584.png',data_batch_1,9,truck,cifar10,train
b'saddle_horse_s_000717.png',data_batch_1,7,horse,cifar10,train
b'tanker_s_001350.png',data_batch_1,8,ship,cifar10,train
b'mongrel_s_001571.png',data_batch_1,5,dog,cifar10,train
b'truck_s_000835.png',data_batch_1,9,truck,cifar10,train
b'pickerel_frog_s_001195.png',data_batch_1,6,frog,cifar10,train
b'lipizzan_s_000399.png',data_batch_1,7,horse,cifar10,train
b'tabby_s_000074.png',data_batch_1,3,cat,cifar10,train
b'automobile_s_001887.png',data_batch_1,1,automobile,cifar10,train
b'moving_van_s_001665.png',data_batch_1,9,truck,cifar10,train
b'attack_aircraft_s_000153.png',data_batch_1,0,airplane,cifar10,train
b'domestic_cat_s_001596.png',data_batch_1,3,cat,cifar10,train
b'compact_car_s_000048.png',data_batch_1,1,automobile,cifar10,train
b'domestic_cat_s_000009.png',data_batch_1,3,cat,cifar10,train
b'pekingese_s_002089.png',data_batch_1,5,dog,cifar10,train
b'capreolus_capreolus_s_001095.png',data_batch_1,4,deer,cifar10,train
b'blenheim_spaniel_s_001103.png',data_batch_1,5,dog,cifar10,train
b'stallion_s_000040.png',data_batch_1,7,horse,cifar10,train
b'stud_mare_s_001672.png',data_batch_1,7,horse,cifar10,train
b'elk_s_000920.png',data_batch_1,4,deer,cifar10,train
b'lipizzan_s_001123.png',data_batch_1,7,horse,cifar10,train
b'fire_truck_s_002721.png',data_batch_1,9,truck,cifar10,train
b'elk_s_001888.png',data_batch_1,4,deer,cifar10,train
b'finch_s_000750.png',data_batch_1,2,bird,cifar10,train
b'tabby_s_000880.png',data_batch_1,3,cat,cifar10,train
b'banana_boat_s_001324.png',data_batch_1,8,ship,cifar10,train
b'twinjet_s_000591.png',data_batch_1,0,airplane,cifar10,train
b'shooting_brake_s_000029.png',data_batch_1,1,automobile,cifar10,train
b'rana_pipiens_s_000101.png',data_batch_1,6,frog,cifar10,train
b'station_wagon_s_001387.png',data_batch_1,1,automobile,cifar10,train
b'station_wagon_s_002712.png',data_batch_1,1,automobile,cifar10,train
b'odocoileus_hemionus_s_000221.png',data_batch_1,4,deer,cifar10,train
b'convertible_s_001715.png',data_batch_1,1,automobile,cifar10,train
b'abandoned_ship_s_000574.png',data_batch_1,8,ship,cifar10,train
b'true_cat_s_000114.png',data_batch_1,3,cat,cifar10,train
b'dustcart_s_000063.png',data_batch_1,9,truck,cifar10,train
b'frog_s_000797.png',data_batch_1,6,frog,cifar10,train
b'green_frog_s_001320.png',data_batch_1,6,frog,cifar10,train
b'compact_car_s_001038.png',data_batch_1,1,automobile,cifar10,train
b'freighter_s_001351.png',data_batch_1,8,ship,cifar10,train
b'mutt_s_000251.png',data_batch_1,5,dog,cifar10,train
b'accentor_s_000303.png',data_batch_1,2,bird,cifar10,train
b'lorry_s_001154.png',data_batch_1,9,truck,cifar10,train
b'fire_truck_s_000894.png',data_batch_1,9,truck,cifar10,train
b'cargo_vessel_s_000731.png',data_batch_1,8,ship,cifar10,train
